ENERGY,L,B,TIME
2110.096923828125,270.12188720703125,-13.912395477294922,243216773.4766363
515.4590454101562,269.8193359375,-12.128993034362793,243216773.6382303
760.92919921875,270.6428527832031,-13.83066177368164,243216773.64552304
151.30296325683594,267.79803466796875,-13.521401405334473,243216773.79534313
1500.5849609375,269.4148864746094,-12.437505722045898,243216774.06478038
608.2376098632812,266.3833923339844,-14.858451843261719,243216774.23124146
455.9640197753906,272.274169921875,-11.764836311340332,243216774.7041533
134.38124084472656,271.72332763671875,-13.128243446350098,243216775.101144
306.9547424316406,270.73614501953125,-13.741991996765137,243216775.19505966
611.0431518554688,270.6202087402344,-13.36201000213623,243216775.28332967
109.35848236083984,270.58319091796875,-17.00428581237793,243216775.3241075
155.11134338378906,271.0643310546875,-13.094110488891602,243216775.48870027
640.0684814453125,269.04925537109375,-13.52435302734375,243216775.5484693
109.03548431396484,269.6731872558594,-13.540227890014648,243216775.61195594
125.90222930908203,270.229248046875,-14.73088264465332,243216775.9617816
610.173095703125,270.12884521484375,-13.710829734802246,243216776.32897732
268.6780090332031,270.35430908203125,-14.207803726196289,243216776.33475426
123.73104095458984,269.8631591796875,-15.155839920043945,243216776.3507041
1106.0728759765625,269.9524841308594,-13.325095176696777,243216776.83493176
666.3541259765625,270.75897216796875,-13.958022117614746,243216777.04646957
107.64725494384766,268.4153137207031,-13.893421173095703,243216777.17626032
118.8339614868164,271.64508056640625,-14.328166007995605,243216777.37930122
808.8512573242188,270.2284240722656,-13.944487571716309,243216777.71068633
473.3236999511719,270.1040344238281,-14.460887908935547,243216778.95666403
660.1982421875,269.1368408203125,-13.395814895629883,243216779.359479
276.63323974609375,269.4526062011719,-13.10094928741455,243216780.0930876
163.28460693359375,269.5328063964844,-13.267175674438477,243216780.13668242
699.251708984375,270.2093200683594,-14.25220775604248,243216780.4812333
238.10617065429688,269.892578125,-14.033753395080566,243216780.79016706
737.0327758789062,269.5662536621094,-13.213631629943848,243216781.03005314
369.6044006347656,270.5975036621094,-13.025700569152832,243216781.15072894
104.95277404785156,271.7897644042969,-12.659043312072754,243216781.2672247
238.2209930419922,270.2706604003906,-16.535043716430664,243216782.5350715
12421.47265625,270.1580505371094,-13.682437896728516,243216783.15811712
109.94464874267578,270.36676025390625,-14.776618003845215,243216783.2310112
1230.38916015625,269.73223876953125,-13.7789945602417,243216783.4181342
158.51177978515625,271.50933837890625,-13.488770484924316,243216783.70660722
105.60041809082031,270.6856689453125,-14.49649429321289,243216783.80451277
129.8193359375,268.5705261230469,-16.050640106201172,243216784.4638165
244.1390380859375,270.0964660644531,-15.26872730255127,243216784.48614866
159.49276733398438,269.6702880859375,-11.143521308898926,243216785.99910355
1382.0933837890625,270.1589660644531,-13.774618148803711,243216786.34939978
110.38317108154297,271.74029541015625,-9.635979652404785,243216786.61920467
113.84744262695312,272.6131286621094,-8.49040412902832,243216787.6329132
226.5827178955078,271.6635437011719,-14.786285400390625,243216788.7457359
2568.05908203125,270.45648193359375,-13.8555908203125,243216788.8287795
137.20944213867188,273.788330078125,-17.289447784423828,243216788.89456382
193.15626525878906,273.03643798828125,-15.521234512329102,243216788.97361982
958.8090209960938,270.015380859375,-13.824507713317871,243216788.99451375
903.6764526367188,269.7511901855469,-13.944849014282227,243216789.1582635
126.55824279785156,272.0827331542969,-15.799028396606445,243216789.27454403
481.88787841796875,268.9788818359375,-13.593596458435059,243216789.67034915
238.2753143310547,270.1847229003906,-13.606836318969727,243216789.8419954
158.30979919433594,271.03826904296875,-14.835236549377441,243216790.4823213
1649.1368408203125,270.5643005371094,-13.532050132751465,243216790.54616374
436.5235595703125,270.6552429199219,-14.949507713317871,243216792.57269874
2499.74169921875,270.2054748535156,-13.741719245910645,243216792.93338692
1742.312744140625,270.6363830566406,-13.92654800415039,243216793.66614997
722.764404296875,269.84112548828125,-13.82797908782959,243216793.92735344
542.3114624023438,270.2180480957031,-13.843158721923828,243216794.16664857
6721.31298828125,270.19561767578125,-13.670500755310059,243216794.82312635
764.5092163085938,270.3011169433594,-13.83009147644043,243216795.91040105
862.88916015625,273.04632568359375,-10.222195625305176,243216797.07016745
192.2666778564453,270.99090576171875,-13.404464721679688,243216797.6037847
114.1184310913086,271.68975830078125,-14.227823257446289,243216800.25803757
124.63142395019531,273.57025146484375,-12.219832420349121,243216802.26387775
115.798828125,268.9165954589844,-12.639883995056152,243216802.43809664
228.29464721679688,271.0144958496094,-12.797667503356934,243216803.20739073
153.66790771484375,272.8510437011719,-14.188828468322754,243216803.26608515
374.46697998046875,271.6109313964844,-15.753183364868164,243216803.36843506
193.54580688476562,274.2398681640625,-16.14927864074707,243216804.13684526
140.2447052001953,268.552978515625,-13.005692481994629,243216804.5189772
27428.8046875,270.2218322753906,-13.803006172180176,243216807.1224516
243.99388122558594,271.33905029296875,-14.048898696899414,243216808.69515112
930.887939453125,270.12347412109375,-13.286521911621094,243216808.76567417
605.9744873046875,270.0315856933594,-13.836466789245605,243216809.7324998
242.1584014892578,270.6296081542969,-14.13796615600586,243216810.07129195
899.3873291015625,269.94598388671875,-13.512931823730469,243216810.2936996
206.69857788085938,269.86700439453125,-13.071683883666992,243216810.3625539
5707.0205078125,270.1126708984375,-13.72613525390625,243216810.61206815
773.5814819335938,270.0484619140625,-14.138707160949707,243216811.77162632
167.5073699951172,270.4504089355469,-14.423877716064453,243216811.88440567
334.28692626953125,269.2701721191406,-14.325340270996094,243216812.40311012
309.1943054199219,271.2498779296875,-13.163572311401367,243216812.8213036
152.69493103027344,270.868408203125,-13.546937942504883,243216814.12841564
145.72047424316406,269.5796813964844,-11.830826759338379,243216815.72167867
464.47320556640625,271.4374084472656,-12.518403053283691,243216822.1951039
299.00152587890625,269.88421630859375,-13.244133949279785,243216824.92154637
150.98345947265625,273.2667541503906,-11.430039405822754,243216825.4190276
420.0406494140625,270.37335205078125,-13.602120399475098,243216825.58444518
226.01889038085938,270.82476806640625,-12.915261268615723,243216831.2882803
989.427978515625,270.9483642578125,-13.355807304382324,243216832.14123163
198.2993621826172,270.2879943847656,-12.468352317810059,243216832.15664428
189.13548278808594,270.59112548828125,-14.234770774841309,243216833.03191528
253.0015411376953,270.4483947753906,-13.595996856689453,243216833.1089755
124.0212631225586,267.464111328125,-15.038240432739258,243216833.23727727
443.47247314453125,270.254150390625,-11.590173721313477,243216835.4421075
164.67300415039062,269.9088439941406,-13.678646087646484,243216836.35900295
143.27853393554688,271.1755065917969,-12.059709548950195,243216837.00820622
867.5609741210938,270.0877685546875,-13.677081108093262,243216837.2366003
136.80409240722656,272.68548583984375,-15.835148811340332,243216837.57704198
466.22235107421875,270.8365783691406,-15.970895767211914,243216838.0087248
379.3009338378906,269.64422607421875,-12.803505897521973,243216838.51034313
357.9063720703125,271.13800048828125,-14.21756362915039,243216840.20005456
565.4002075195312,270.3572692871094,-14.169476509094238,243216859.00870156
344.25750732421875,269.8535461425781,-13.501260757446289,243216859.92780888
284.19671630859375,269.248291015625,-12.317049026489258,243216861.39338621
483.481689453125,269.5675048828125,-13.73981761932373,243216862.64482197
706.9639282226562,270.2698669433594,-13.266210556030273,243216862.92246634
751.9303588867188,269.4486083984375,-13.45724868774414,243216864.13803992
792.0240478515625,270.30462646484375,-14.705903053283691,243216867.72864723
137.8380126953125,273.9070739746094,-10.199145317077637,243216875.48761547
151.0694122314453,271.0734558105469,-13.62243366241455,243216877.35679495
598.76220703125,269.52081298828125,-13.074828147888184,243216883.26181656
875.8287353515625,270.02996826171875,-13.437407493591309,243216890.77804646
846.4291381835938,270.0555419921875,-13.953192710876465,243216892.31190696
106.59955596923828,269.2031555175781,-12.648183822631836,243216896.36730903
1212.47802734375,270.1788330078125,-14.131667137145996,243216900.4794786
858.503662109375,270.3307800292969,-13.64795970916748,243216907.29355863
218.00344848632812,269.82403564453125,-16.212018966674805,243216915.44921806
157.2794189453125,269.7630920410156,-11.72740364074707,243216917.41929266
211.67543029785156,270.9097900390625,-13.435871124267578,243216918.63193437
1336.7872314453125,270.2447509765625,-14.104830741882324,243216920.5229006
680.9990844726562,270.57708740234375,-13.460620880126953,243216924.0544554
990.6993408203125,269.500244140625,-13.240110397338867,243216931.3664539
624.4275512695312,270.1351318359375,-13.381381034851074,243216931.95739472
491.4720153808594,270.0778503417969,-11.662577629089355,243216932.36273775
244.69656372070312,271.1437683105469,-14.296263694763184,243216933.08524615
206.97921752929688,268.5950012207031,-12.732579231262207,243216945.868521
591.7724609375,270.1226501464844,-14.67143440246582,243216960.5065391
945.353515625,270.274169921875,-13.121089935302734,243216963.73974237
149.02334594726562,272.53668212890625,-14.131783485412598,243216984.237282
168.8538055419922,268.7969970703125,-14.039715766906738,243217009.3307531
251.4363250732422,268.9085693359375,-13.21045207977295,243217036.41978845
607.3922729492188,269.8692626953125,-14.026701927185059,243217047.0002299
305.2088623046875,270.5341491699219,-11.722434043884277,243217053.46130243
151.58668518066406,270.9779968261719,-17.40114974975586,243217057.0166413
399.340087890625,271.0323791503906,-14.173537254333496,243217069.95849928
403.1041564941406,268.03826904296875,-13.107831954956055,243217169.82055607
